Product_ID,Product_Name,Category,Sub_Category,Brand,Cost_Price,Selling_Price,Supplier,Launch_Date
P267,Product 267,Grocery,SubCat 9,Brand 9,908.16,1240.38,Supplier 14,3/2/2024 0:00
P268,Product 268,Grocery,SubCat 3,Brand 27,243.29,399.87,Supplier 7,9/9/2020 0:00
P269,Product 269,Fashion,SubCat 1,Brand 2,438.27,782.55,Supplier 20,7/11/2021 0:00
P270,Product 270,Sports,SubCat 8,Brand 28,239.75,368.22,Supplier 5,11/22/2024 0:00
P271,Product 271,Electronics,SubCat 2,Brand 26,484.89,693.01,Supplier 5,2/26/2024 0:00
P272,Product 272,Grocery,SubCat 9,Brand 3,130.04,182.86,Supplier 11,7/22/2022 0:00
P273,Product 273,Sports,SubCat 6,Brand 5,330.9,574.17,Supplier 3,1/31/2020 0:00
P274,Product 274,Grocery,SubCat 7,Brand 30,509.82,569.61,Supplier 3,2/9/2020 0:00
P275,Product 275,Fashion,SubCat 3,Brand 27,812.77,995.23,Supplier 7,12/23/2024 0:00
P276,Product 276,Electronics,SubCat 5,Brand 23,667.3,1192.78,Supplier 17,8/3/2023 0:00
P277,Product 277,Grocery,SubCat 8,Brand 6,228.98,266.39,Supplier 4,11/19/2023 0:00
P278,Product 278,Books,SubCat 2,Brand 25,604.79,922.35,Supplier 15,8/9/2024 0:00
P279,Product 279,Home Appliances,SubCat 8,Brand 7,937.76,1192.25,Supplier 10,8/13/2021 0:00
P280,Product 280,Grocery,SubCat 7,Brand 1,854.01,1383.17,Supplier 12,6/6/2025 0:00
P281,Product 281,Sports,SubCat 10,Brand 26,667.5,1132.65,Supplier 3,12/6/2025 0:00
P282,Product 282,Books,SubCat 3,Brand 19,345.11,535.11,Supplier 1,12/9/2025 0:00
P283,Product 283,Home Appliances,SubCat 5,Brand 8,87.47,152.25,Supplier 7,5/27/2021 0:00
P284,Product 284,Sports,SubCat 9,Brand 8,447.52,689.05,Supplier 11,8/22/2023 0:00
P285,Product 285,Home Appliances,SubCat 6,Brand 1,193.78,301.62,Supplier 4,1/30/2025 0:00
P286,Product 286,Fashion,SubCat 4,Brand 10,635.61,999.87,Supplier 9,11/9/2021 0:00
P287,Product 287,Fashion,SubCat 4,Brand 3,173.38,225.82,Supplier 18,6/7/2024 0:00
P288,Product 288,Beauty,SubCat 9,Brand 10,109.31,167.67,Supplier 20,4/15/2020 0:00
P289,Product 289,Grocery,SubCat 2,Brand 21,839.47,1503.55,Supplier 6,7/7/2020 0:00
P290,Product 290,Fashion,SubCat 1,Brand 17,307.42,362.13,Supplier 17,11/19/2020 0:00
P291,Product 291,Home Appliances,SubCat 6,Brand 1,533.72,783.12,Supplier 4,7/16/2022 0:00
P292,Product 292,Sports,SubCat 3,Brand 19,424.21,650.72,Supplier 17,12/27/2021 0:00
P293,Product 293,Books,SubCat 7,Brand 4,857.29,1422.29,Supplier 17,6/18/2024 0:00
P294,Product 294,Electronics,SubCat 7,Brand 18,931.11,1204.55,Supplier 19,1/24/2023 0:00
P295,Product 295,Electronics,SubCat 6,Brand 9,287.21,477.71,Supplier 3,1/1/2021 0:00
P296,Product 296,Beauty,SubCat 2,Brand 5,794.17,1014.2,Supplier 7,9/28/2024 0:00
P297,Product 297,Sports,SubCat 10,Brand 12,257.23,344.38,Supplier 20,4/7/2021 0:00
P298,Product 298,Beauty,SubCat 3,Brand 3,781.68,1267.99,Supplier 2,6/30/2025 0:00
P299,Product 299,Grocery,SubCat 5,Brand 17,752.73,895.2,Supplier 19,11/13/2022 0:00
P300,Product 300,Sports,SubCat 2,Brand 24,700.7,1120.27,Supplier 15,11/3/2021 0:00
